id,lat,lon
KOLAM AYER IND EST,1.327077146,103.8703972
OPP BLK 231,1.337601069,103.8598849
AFT CARGO BLDG D,1.381354491,103.9981569
AFT TRACK 18,1.350286459,103.7337917
OPP BLK 227,1.342050871,103.7354109
OPP BLK 896B,1.437603473,103.7923974
OPP BLK 116,1.323802162,103.7725979
OASIS STN / EXIT A,1.402519672,103.9125991
AFT TRACK 22,1.353109129,103.7304283
BLK 685B,1.342647306,103.7038031
CHUNG HWA FREE CLINIC,1.332952979,103.8514363
BLK 671 CP,1.4189772,103.8409846
OPP CHINESE GDN STN,1.342529445,103.7332134
OPP CENCON BLDG,1.330802199,103.8771818
MERDIAN STN EXIT B,1.397323664,103.9086534
NGEE ANN SEC SCH,1.353847497,103.9574971
BEF CHIA PING RD,1.32752638,103.7180821
OPP DUNEARN SEC SCH,1.364540689,103.7434179
BLK 237,1.355322336,103.9471216
BEF BOON LAY WAY,1.338761781,103.7095665
HOUGANG G. SHOP MALL,1.379823193,103.8881333
OPP SCI PK 2 / THE GALEN,1.287059565,103.7850881
BLK 618,1.433473922,103.796458
AFT GUL LANE,1.31529153,103.6599194
BEF TG KATONG RD,1.301759784,103.8960337
SUPER CONTINENTAL,1.338775191,103.6381541
NORTHTECH,1.455918195,103.7987206
PASIR VIEW PK,1.278170905,103.7870209
FARRER RD STN EXIT A,1.317190575,103.8075801
BUGIS CUBE,1.298215764,103.8555223
ST. PATRICK'S SCH,1.307517444,103.9176298
AFT PADANG JERINGAU,1.309757437,103.8672615
OPP BLK 489A,1.375122677,103.7401028
BLK 172,1.319836633,103.9444071
BT BATOK HME FOR THE AGED,1.361790801,103.7436209
BLK 489A,1.375250238,103.7403674
OPP BLK 195,1.329985158,103.8603983
DHOBY GHAUT STN,1.299313513,103.8453726
OPP BLK 402,1.432304099,103.7722515
OPP TRACK 18,1.350385129,103.7333448
BLK 355,1.372461325,103.8983271
OPP BRITISH AMERICAN TOBACCO,1.457798456,103.8029412
BEF WINDSOR PK RD,1.357217642,103.8288024
BEF FRANKEL DR,1.317292481,103.9159422
AFT DUNBAR WK,1.310700384,103.9186799
GOVT CHALETS,1.391403511,103.9817085
BOON KENG STN / BLK 102,1.32016468,103.8618799
BEF GEYLANG BAHRU STN,1.320450027,103.8701577
OPP BLK 314,1.432079383,103.8420399
OPP SELETAR CAMP,1.411443558,103.8735653
SIMS VILLE,1.316615479,103.8903788
DOWNTOWN EAST,1.375361162,103.9539426
BLK 227A,1.403757983,103.8933391
OPP BLK 113,1.377447729,103.7508079
BLK 512,1.371252244,103.8892903
OPP HAW PAR VILLA STN,1.282840186,103.7817889
PLANT ENGRG,1.307784505,103.6945127
AFT GUL AVE,1.314367758,103.6706849
BEF PENJURU WK,1.317858454,103.735893
AYER RAJAH TELECOMS,1.307508464,103.7778926
OPP BLK 305 CP,1.388159924,103.887548
BLK 347,1.345418458,103.7320002
YOUTH FLYING CLUB,1.41440551,103.8620971
BRAS BASAH CPLX,1.296939921,103.8529766
BLK 402,1.364949315,103.7441791
BEF FIRST LOK YANG RD,1.327666508,103.6939168
AFT RIVERSIDE RD,1.44614527,103.7772517
SHENTON WAY TER,1.273126519,103.8489406
JURONG ISLAND CHECKPT,1.310175965,103.7111709
CRESCENDO BLDG,1.312945197,103.9264179
OPP GLOBALFOUNDRIES,1.436680989,103.764092
AFT ORCHARD BLVD,1.302226659,103.8299791
OPP CHUNG CHENG HIGH SCH,1.419434812,103.8382597
BLK 506,1.31302343,103.7613648
OPP PUB RECREATION CLUB,1.343738281,103.8674302
JACKSON SQ,1.336882965,103.8497555
OPP MARITIME HSE,1.27553272,103.8410641
BLK 68,1.334535904,103.8536546
OPP BLK 51,1.320233521,103.7370619
BLK 794,1.420034874,103.8318347
OPP KHATIB STN EXIT D,1.418675087,103.8329964
BLK 51 CP,1.290402786,103.827677
BLK 858,1.417789191,103.8382901
HQ 5TH SIB CAMP I,1.379857773,103.6970707
OPP CASAFINA / TEMASEK JC,1.316681881,103.9330426
BLK 526,1.333841987,103.9293426
NAVAL BASE SEC SCH,1.419717245,103.8317704
AFT JURONG WEST ST 93,1.334746043,103.6930654
MAXWELL RD FC,1.281050624,103.8446729
OPP CHANGI BEACH CP 5,1.389606602,103.9958436
AFT FOURTH CHIN BEE RD,1.331417004,103.7199354
OASIS STN EXIT B / BLK 617D,1.40208274,103.9127938
AFT QUEENSTOWN NPC HQ,1.289449035,103.8022404
KEMBANGAN STN,1.32175577,103.9136366
BEF MARIAM WALK,1.359280198,103.9686158
BEF SELETAR CAMP G,1.402327624,103.8713974
TEMASEK POLY EAST G,1.345021018,103.9366914
AFT CH OF OUR SAVIOUR,1.298011602,103.8037314
BLK 73,1.288206529,103.8177506
PAN TECH IND CPLX,1.311839261,103.7504631
OPP PASIR RIS STN EXIT A,1.372598967,103.9508447
OPP BLK 991B,1.383103868,103.8825611
BLK 414,1.330295297,103.929606
BEF TAI HOE HOTEL,1.309674311,103.8573291
BUANGKOK SPORTS PK,1.382141707,103.8794275
BEF MUSLIM CEMY PATH 7,1.368720222,103.6939188
RIVER VALLEY HIGH SCH,1.344956743,103.7086361
Blk 662A,1.33764961,103.7029297
BLK 207,1.36577405,103.8434767
NIRVANA MEMORIAL GDN,1.370395954,103.6880989
OPP STH PT,1.273229467,103.8419349
SEAGATE,1.446304981,103.8072393
BLK 105,1.328149861,103.8539599
OPP S'GOON STN EXIT F,1.350290031,103.8712194
OPP BRADDELL VIEW,1.344180262,103.8394855
BEF TUAS AVE 5,1.317396536,103.6588277
FERNVALE STN / BLK 439A,1.391537392,103.8777537
OPP CHEVIOT HILL,1.316884748,103.9224791
BLK 1004,1.343654202,103.847184
OPP MOHD SALLEH MQUE,1.312135718,103.8770895
ALEXANDRA HOSP,1.286063338,103.8024501
CDAC BLDG,1.31287458,103.8942632
BEF CANTONMENT RD,1.272740598,103.8413196
OPP EDWARDS LIFESCIENCE,1.346725961,103.9676783
COUNTRYSIDE EST,1.3909571,103.8388059
OPP HIGH ST CTR,1.289757669,103.8488327
OPP KUO CHUAN PRESBY SCH,1.349385102,103.8539156
OPP CROWHURST DR,1.361287348,103.8646186
AFT REGENT MOTORS,1.333618568,103.8984489
OPP BLK 643,1.338345147,103.6955358
DIEPPE BARRACKS,1.42003229,103.8245335
RANGGUNG STN EXIT A,1.383820445,103.8977783
BET BLKS 72/74,1.304217011,103.9076528
18 WOODSVILLE,1.329637249,103.8684906
BLK 657,1.400140394,103.7497281
AFT LOR J TELOK KURAU,1.312719199,103.9071209
OPP NYEE PHOE GROUP,1.440609554,103.7279573
AFT CTE,1.377209682,103.8601519
SENG HENG ENGRG,1.323672922,103.6690181
AFT PUNGGOL CENTRAL,1.403230671,103.9032193
BARTLEY STN EXIT A,1.342597742,103.8799066
AFT CAPITAL TWR,1.278016758,103.8482227
CLP INTL,1.306452205,103.7395088
NATL SKIN CTR,1.319319994,103.8493838
OPP YIO CHU KANG STADIUM,1.38427491,103.8469082
PRUDENTIAL TWR,1.282496902,103.8499523
HQ 6 DIV,1.300923856,103.6573404
OPP BLK 117,1.334805831,103.7224003
OPP JLN KEMUNING,1.438121919,103.825262
AFT KRETA AYER RD,1.279692082,103.842662
YIO CHU KANG STADIUM,1.384106267,103.846723
OPP BLK 116,1.284925713,103.8206282
BLK 50,1.300905773,103.7968856
AFT W'LANDS MART,1.446523496,103.7975424
THE ESPLANADE,1.289933857,103.8564369
OPP CENDEX CTR,1.280303327,103.8238859
S'GOON SEC SCH,1.375219845,103.9012557
JB SENTRAL,1.46098034,103.7647598
KADALOOR STN EXIT B,1.399335565,103.9166372
BEF HOUGANG POLYCLINIC,1.370027714,103.8892773
GUANGYANG SEC SCH,1.345382929,103.8504882
OPP KENT RIDGE SEC SCH,1.301452581,103.7660919
OPP TAMPINES DORMITORY,1.367181238,103.9310421
BLK 7 IND EST,1.358428411,103.8390983
AIR FORCE MUSEUM,1.346020967,103.8989222
BLK 586,1.369982986,103.8534917
ANG MO KIO PR SCH,1.369611377,103.83983
TEEN CHALLENGE,1.372380005,103.6999717
BEF BEACH RD,1.297395087,103.8555981
BEF CARGO BLDG D,1.38140725,103.9979062
OPP BLK 367,1.430243706,103.8455409
SATS CARGO TER,1.373522201,103.9943934
OPP REGENT PK,1.317223825,103.7623456
BLK 154,1.431723334,103.8350903
AFT JURONG PORT RD,1.31437053,103.7183285
